1,1,1834.94,414.22,80.75,230.88,-1,-1,-1,-1
2,1,1834.95,412.56,80.71,232.86,-1,-1,-1,-1
3,1,1837.86,422.72,75.89,223.58,-1,-1,-1,-1
4,1,1836.87,420.37,78.50,229.78,-1,-1,-1,-1
5,1,1839.28,423.18,75.36,222.24,-1,-1,-1,-1
6,1,1844.97,420.20,75.62,217.49,-1,-1,-1,-1
7,1,1847.39,421.83,72.05,211.50,-1,-1,-1,-1
8,1,1848.92,423.90,70.02,207.45,-1,-1,-1,-1
9,1,1849.25,422.26,70.26,209.18,-1,-1,-1,-1
10,1,1849.53,423.23,70.15,207.98,-1,-1,-1,-1
11,1,1849.36,425.12,69.69,205.13,-1,-1,-1,-1
12,1,1856.24,426.66,68.89,201.85,-1,-1,-1,-1
13,1,1855.52,423.65,71.32,209.44,-1,-1,-1,-1
14,1,1857.54,432.01,68.30,204.40,-1,-1,-1,-1
15,1,1858.61,430.02,66.39,197.34,-1,-1,-1,-1
16,1,1863.29,443.01,60.94,183.82,-1,-1,-1,-1
17,1,1870.60,447.76,56.40,174.71,-1,-1,-1,-1
18,1,1870.44,446.38,57.36,177.62,-1,-1,-1,-1
19,1,1868.53,438.08,60.86,181.81,-1,-1,-1,-1
20,1,1869.67,439.70,59.36,177.03,-1,-1,-1,-1
21,1,1871.52,441.34,57.49,173.44,-1,-1,-1,-1
22,1,1872.36,442.14,56.47,170.94,-1,-1,-1,-1
23,1,1872.11,440.50,57.28,174.12,-1,-1,-1,-1
24,1,1871.90,433.43,57.18,173.37,-1,-1,-1,-1
25,1,1872.11,432.10,56.76,174.73,-1,-1,-1,-1
26,1,1873.73,432.34,52.25,158.42,-1,-1,-1,-1
27,1,1874.07,432.27,52.71,158.28,-1,-1,-1,-1
1,2,819.48,345.25,176.36,495.37,-1,-1,-1,-1
2,2,836.86,361.36,171.89,478.15,-1,-1,-1,-1
3,2,846.78,358.78,169.36,482.15,-1,-1,-1,-1
4,2,852.38,345.96,174.73,493.71,-1,-1,-1,-1
5,2,867.42,347.27,174.76,491.10,-1,-1,-1,-1
6,2,883.67,346.91,175.31,491.05,-1,-1,-1,-1
7,2,895.53,349.98,169.31,483.87,-1,-1,-1,-1
8,2,908.05,366.41,161.13,467.52,-1,-1,-1,-1
